Nazwa produktu	wartośćenergetyczna	białko	tłuszcz	węglowodany	sód	potas	wapń	Żelazo	Witamina C	Witamina A	błonnik
	kcal	g	g	g	mg	mg	mg	mg	mg	mcg	g
Białko jaja kurzego	49	10.9	0.2	0.7	200	154	6	0.2	0	0	0
Żółtko jaja kurzego	314	15.5	28.2	0.3	52	127	147	7.2	0	29	0
Proszek jajeczny	576	48.4	41.7	2.7	481	527	185	8.3	0	0	0
Baranina, łopatka	284	15.6	25	0	66	249	9	2.3	0	0	0
Baranina, udziec	232	18	18	0	78	380	10	2.7	0	0	0
Cielęcina, łopatka	106	19.9	2.8	0	87	395	11	2.9	0	0	0
Cielęcina, sznyclówka	105	20.5	2.4	0	68	320	12	1.7	0	0	0
Cielęcina, udziec	108	19.9	3.1	0	128	246	10	2.4	0	0	0
Konina, mięso bez kości	109	21.5	2.5	0	46	345	15	3.5	0	0	0
Konina, mięso z kością	109	21.5	2.5	0	46	345	15	3.5	0	0	0
Wieprzowina klasa I	133	18.9	6.3	0	57	323	5	1.4	0	0	0
Wieprzowina klasa II	248	17.5	20	0	74	297	8	1.5	0	0	0
Wieprzowina klasa III	196	18.3	13.7	0	72	347	8	1.8	0	0	0
Wieprzowina klasa IV	341	13.7	32.3	0	78	260	36	3	0	0	0
Wieprzowina, boczek bez kości	510	10.1	53	0	78	163	4	0.7	0	0	0
Wieprzowina, golonka ze skórą	294	18.6	24.7	0	73	213	19	1.1	0	0	0
Wieprzowina, karkówka	267	16.1	22.8	0	63	283	18	1.3	0	0	0
Wieprzowina, łopatka	257	16	21.7	0	52	275	5	1.1	0	0	0
Wieprzowina, podgardle	630	7.4	67.8	0	38	87	7	0.7	0	0	0
Wieprzowina, schab surowy z kością	174	21	10	0	42	343	15	1	0	0	0
Wieprzowina, szynka surowa	261	18	21.3	0	62	289	5	0.9	0	0	0
Wieprzowina, żeberka	321	15.2	29.3	0	63	252	28	1.3	0	0	0
Wołowina klasa I nieścięgnista	107	21.7	2.1	0	57	354	4	2.2	0	0	0
Wołowina klasa I ścięgnista	154	20.8	7.9	0	70	337	6	2.2	0	0	0
Wołowina klasa II	147	20.6	7.2	0	78	316	6	2.2	0	0	0
Wołowina klasa III	223	20.9	15.6	0	81	209	8	2.3	0	0	0
Wołowina klasa IV	405	14.1	39.3	0	127	120	15	2.7	0	0	0
Wołowina klasa V	365	20.1	32	0	124	117	16	1.5	0	0	0
Wołowina, pieczeń	117	20.9	3.6	0	78	375	3	2.3	0	0	0
Wołowina, polędwica	113	20.1	3.5	0	52	382	4	3.1	0	0	0
Wołowina, rostbef	152	21.5	7.3	0	64	350	9	2.4	0	0	0
Wołowina, rozbratel	157	16.7	10.1	0	34	313	14	2.8	0	0	0
Wołowina, szponder	217	19.3	15.7	0	63	266	27	2.1	0	0	0
Flaki	84	16	2.2	0	64	137	71	0.6	0	0	0
Kości, wywar	5	1.2	0	0	28	15	2	0.1	0	0	0
Krew wieprzowa	73	16.6	0.4	0.4	205	205	7	39.5	0	0	0
Mózg wieprzowy	139	11.1	10.6	0	160	326	10	3.8	18	0	0
Nerki wieprzowe	102	16.8	3.8	0	205	313	11	8	13	8	0
Nogi wieprzowe	274	23	20.4	0	157	127	24	2.1	0	4	0
Ozór wieprzowy	165	16.5	11.1	0	108	255	11	4.5	4	0	0
Serca wieprzowe	111	16.9	4.8	0	89	335	35	2.7	6	2	0
Wątroba wieprzowa	130	22	3.4	2.6	83	311	10	18.7	23	11	0
Wątroba wołowa	125	20	3.1	4	117	294	7	9.4	31	950	0
Wątroba cielęca	125	19.2	3.3	4.1	87	316	19	7.9	35	160	0
Gęś, tuszka	339	14.1	31.8	0	48	243	5	2.4	0	0	0
Indyk, tuszka	129	17	6.8	0	63	300	6	0.6	0	0	0
Mięso z piersi indyka bez skóry	84	19.2	0.7	0	47	460	2	0.5	0	0	0
Mięso z piersi indyka ze skórą	100	18.7	2.7	0	48	441	2	0.5	0	0	0
Mięso z podudzia indyka bez skóry	100	16.6	3.7	0	96	364	8	1.2	0	0	0
Mięso z podudzia indyka ze skórą	142	15.7	8.9	0	92	324	8	1.1	0	0	0
Mięso ze skrzydeł indyka bez skóry	115	18	4.7	0	62	359	5	1.2	0	0	0
Mięso ze skrzydeł indyka ze skórą	168	16.5	11.4	0	63	308	6	1.1	0	0	0
Mięso z udźca indyka bez skóry	104	19.4	2.8	0	77	414	4	0.8	0	0	0
Mięso z udźca indyka ze skórą	131	18.4	6.4	0	76	384	5	0.8	0	0	0
Skóra z indyka	413	9.4	42.4	0	64	80	9	0.8	0	0	0
Skrzydło indyka	168	16.5	11.4	0	63	308	6	1.1	0	0	0
Kaczka, tuszka	308	13.5	28.6	0	66	242	8	2.1	0	0	0
Kura, tuszka	202	18.5	14.3	0	66	307	11	1.6	0	0	0
Kurczak, tuszka	158	18.6	9.3	0	61	305	10	1.2	0	0	0
Mięso z piersi kurczaka bez skóry	99	21.5	1.3	0	55	385	5	0.4	0	0	0
Mięso z ud kurczaka bez skóry	125	17.8	6	0	91	334	8	0.7	0	0	0
Mięso z ud kurczaka ze skórą	158	16.8	10.2	0	85	300	9	0.7	0	0	0
Noga (udo) kurczaka	158	16.8	10.2	0	85	300	9	0.7	0	0	0
Skórki kurze	379	10.7	37.9	0	46	76	17	1	0	0	0
Skrzydło kurczaka	186	19.2	12.2	0	73	156	14	1.4	0	0	0
Wątróbka  kurczaka	136	19.1	6.3	0.6	85	300	8	9.5	23	21	0
Żołądek kurczaka	114	18.2	4.2	0.6	69	188	8	3.5	3	0	0
Królik, tuszka	156	21	8	0	43	385	19	2.6	0	0	0
Baleron gotowany	244	15.1	20.2	0.9	749	312	17	1.3	0	0	0
Kabanosy	326	27.4	24.3	0	1327	467	11	2.3	0	0	0
Kiełbasa domowa	320	14.7	29.2	0.5	826	243	7	1.4	0.5	0	0.1
Kiełbasa krakowska sucha	323	25.6	24.8	0	1273	429	8	2.1	0	0	0
Kiełbasa lubuska	249	17.5	18	4.8	1465	401	13	1.7	0.7	0	0.1
Kiełbasa mortadela	205	12	17.7	0	698	169	13	1.2	0	0	0
Kiełbasa myśliwska sucha	291	27.8	20.1	0	1291	463	10	2.5	0	0	0
Kiełbasa parówkowa	323	11	31.5	0	839	134	15	1.2	0	0	0
Kiełbasa podwawelska	247	17.3	19.6	0.9	1017	303	10	1.5	0.7	0	0.1
Kiełbasa rzeszowska	203	20.9	13.4	0	976	356	7	1.8	0	0	0
Kiełbasa śląska	210	18.4	15.3	0	885	323	7	1.6	0	0	0
Kiełbasa toruńska	263	20.9	20.1	0	1007	347	9	1.9	0	0	0
Kiełbasa zwyczajna	209	17.6	15.6	0	848	258	13	1.6	0	0	0
Kiełbasa żywiecka	315	20.3	26.3	0	1031	328	7	1.9	0	0	0
Kiełbaski bawarskie	308	15.5	27.7	0.1	853	264	12	1.6	0	1	0
Mielonka (Luncheon meat)	171	12.8	11.7	3.7	1065	296	9	1.3	0	0	0
Paróweczki śniadaniowe (z olejem)	234	11.9	20.9	0.1	650	193	8	1.3	0	0	0
Parówki popularne	342	9.5	34.3	0	889	120	5	1.1	0	0	0
Polędwica luksusowa	177	19.5	10	2.4	1555	325	14	1.1	0	1	0
Polędwica sopocka	165	19.9	9.1	0.9	748	374	15	1.1	0	0	0
Salami luksusowe	540	21.9	50.6	0.9	1304	349	9	2.2	0	1	0
Salami mini	548	21.7	51.6	0.9	1304	347	9	2.2	0	1	0
Salami popularne	568	21.6	53.7	1.4	1307	348	10	2.2	0.5	1	0.1
Szynka kanapkowa	102	14.2	4.4	1.4	1112	317	6	1.2	0	0	0
Szynka wiejska	253	17.1	20.3	0.9	1026	366	5	0.9	0	0	0
Szynka wieprzowa gotowana	233	16.4	18.3	1	857	319	6	1	0	0	0
Szynka wołowa gotowana	107	20.9	2	1.1	914	401	5	2.2	0	0	0
Szynkówka wieprzowa	191	13.6	14.7	1.4	1115	294	6	0.9	0	0	0
Szynkówka wołowa	85	16.2	1.5	1.4	1112	338	5	1.7	0	0	0
Wędzonka wołowa gotowana	102	17.8	3.1	0.5	992	382	5	2.8	0.5	9	0
Kiszka kaszana jęczmienna	194	8.5	12.6	13	772	144	13	7.4	0	0	1.1
Kiszka krwista	404	14.2	35	9.2	1062	92	23	16.9	0	43	0.2
Kiszka pasztetowa	384	12.5	35.7	4.3	788	144	18	6	1.4	394	0.1
Ozory w galarecie	141	16.7	7.6	1.7	899	232	12	3.6	15.4	135	0.3
Pasztet pieczony	391	17	31.2	13.5	817	373	49	5	4	115	2.3
Pieczeń żuławska	170	13.8	11.7	2.6	773	228	9	1.5	0.2	0	0.1
Polędwica w galarecie	101	14.5	4.4	1.4	625	216	10	0.6	1.6	11	0.5
Salceson czarny	336	12.6	32	0.5	803	139	18	7.5	0	0	0.1
Salceson włoski	318	14.6	29.3	0	815	143	40	2.2	0	0	0
Wątrobianka	231	10.7	20.9	0.7	794	160	27	5.7	4	3	0.1
Baton szynkowy z indyka	143	14.9	9.3	0.1	826	304	8	0.9	2	44	0
Kiełbasa mazurska z indyka	129	14.8	7.7	0.1	603	295	5	1	0	0	0
Kiełbasa mortadela z indyka	209	11	18.5	0.1	772	192	17	1.2	1.7	38	0
Kiełbasa szynkowa z indyka	88	17.2	2	0.2	900	392	6	0.7	0.1	0	0
Polędwica z indyka	105	15.8	4.6	0.1	763	362	3	0.5	1.9	41	0
Szynka z indyka	84	17.1	1.6	0.1	612	387	3	0.6	0	0	0
Baton z kurczaka	144	16.7	8.6	0.1	753	283	43	1.1	0	0	0
Kabanosy z kurczaka	247	22.8	17.4	0.1	885	415	13	1	0	0	0
Kaszanka z kurczaka	204	9.8	11.7	16.4	892	190	23	6.6	1.3	3	1.4
Kiełbasa delikatesowa z kurczaka	109	19.6	3.3	0.1	779	359	10	0.7	0	0	0
Kiełbasa jałowcowa z kurczaka	236	19	17.9	0.1	630	342	40	1.2	0	0	0
Kiełbasa kanapkowa z kurczaka	179	11.8	13.5	3	720	154	72	1.6	1.8	40	0.1
Kiełbasa podlaska z kurczaka	232	20.7	16.7	0.1	520	373	35	1.3	0.1	0	0
Kiełbasa podsuszana z kurczaka	163	21.7	8.4	0	1039	375	39	1.2	0	0	0
Kiełbasa szynkowa z kurczaka	110	16.2	5	0	725	302	10	0.8	0	0	0
Kurczak faszerowany (pieczony)	200	20.5	11.9	2.8	1208	343	15	1.4	0.4	3	0.1
Parówki z kurczaka	259	10.8	22.4	4.2	548	141	45	1.1	0	0	0.1
Pasta kanapkowa z kurczaka	156	10.4	11.3	3.5	461	185	85	1.1	0.3	4	0
Pasztet z kurczaka pieczony	214	14.4	14.3	7.5	574	225	94	3.3	3.6	14	0.4
Pasztet podlaski z kurczaka	228	6.7	21.1	3.6	610	108	42	1.5	1.7	6	0.2
Pieczeń z kurczaka z pieczarkami	180	13.8	10.2	9.1	883	251	15	0.9	0.4	7	0.7
Pieczeń z kurczaka z serem żółtym	205	16	12.1	8.8	960	233	83	0.9	0	24	0.6
Polędwica z piersi kurczaka	93	20.4	1.2	0	705	366	7	0.5	0	0	0
Szynka delikatesowa z kurczaka	124	18.2	5.6	0	797	331	11	1.1	0	0	0
Szynka z piersi kurczaka	98	21.2	1.2	0.2	933	380	8	0.5	0	0	0
Szynka z udźca kurczaka	117	17.2	5.3	0	769	321	11	0.8	0	0	0
Dorsz świeży	78	17.7	0.7	0	72	356	9	0.4	2	0	0
Dorsz świeży, filety bez skóry	70	16.5	0.3	0	89	364	7	0.6	1	0	0
Flądra świeża	83	16.5	1.8	0	92	332	27	0.4	0	0	0
Gładzica-płastuga świeża	86	17.1	1.9	0	104	311	61	0.6	1	0	0
Halibut biały, świeży	98	20.1	1.9	0	67	446	14	0.5	0	0	0
Karp świeży	110	18	4.2	0	30	387	10	0.7	1	0	0
Łosoś świeży	201	19.9	13.6	0	51	371	13	1	1	0	0
Makrela świeża	181	18.7	11.9	0	95	396	12	1	0	0	0
Mintaj świeży	73	16.6	0.6	0	99	330	9	0.2	0	0	0
Morszczuk świeży	89	17.2	2.2	0	100	270	41	0.5	0	0	0
Okoń świeży	82	18.4	0.8	0	47	330	20	0.6	1.3	0	0
Pstrąg strumieniowy, świeży	97	19.2	2.1	0	53	348	24	0.4	1.1	0	0
Pstrąg tęczowy, świeży	160	18.6	9.6	0	52	420	18	0.4	0	0	0
Sandacz świeży	84	19.2	0.7	0	57	340	49	0.8	1	0	0
Sardynka świeża	168	20.6	9.6	0	120	360	84	1.4	0	0	0
Sola świeża	83	17.5	1.4	0	100	309	29	0.8	0	0	0
Szczupak świeży	82	18.4	0.8	0	63	304	20	0.6	1.3	0	0
Śledź świeży	161	16.3	10.7	0	89	239	32	0.9	0	0	0
Śledź solony	217	19.8	15.4	0	5930	240	62	1.1	0	0	0
Tuńczyk świeży	137	23.7	4.6	0	43	356	10	1	0	0	0
Węgorz świeży	278	15	24.5	0	65	217	17	0.6	1.8	0	0
Dorsz wędzony	94	22.1	0.5	0	1170	300	20	1	0	0	0
Łosoś wędzony	162	21.5	8.4	0	1470	330	15	0.5	0	0	0
Makrela wędzona	221	20.7	15.5	0	1170	275	5	1.2	0	0	0
Pikling	215	21.8	14.3	0	1170	285	32	1.4	0	0	0
Węgorz wędzony	326	17.9	28.6	0	500	243	19	0.7	0	0	0
