ananas w kawałkach rolnik	ananas w kawałkach rolnik	rolnik	rolnik	100 g	przetwory i przyprawy	przetwory warzywne i owocowe	61	0	15	0	True
ananas w plastrach w syropie del monte	ananas w plastrach w syropie del monte	del monte		100 g	przetwory i przyprawy	przetwory warzywne i owocowe	72	0	17.4	0.3	True
ananasy plastry splendor	ananasy plastry splendor	splendor		100 g	przetwory i przyprawy	przetwory warzywne i owocowe	62	0	15.6	0.5	True
babeczka z kubeczka smak czekolada-orzech dr.oetker	babeczka z kubeczka smak czekolada-orzech dr.oetker	dr.oetker	dr. oetker	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	0	3.1	43.7	6.8	True
babeczka z kubeczka smak czekolada-pomarańcza dr.oetker	babeczka z kubeczka smak czekolada-pomarańcza dr.oetker	dr.oetker	dr. oetker	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	0	2.9	42.5	7.2	True
babeczka z kubeczka smak czekoladowy dr.oetker	babeczka z kubeczka smak czekoladowy dr.oetker	dr.oetker	dr. oetker	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	0	3.1	43.5	6.9	True
babeczki brownie karmel i czekolada	babeczki brownie karmel i czekolada	delecta	delecta	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	426	17	62	5	True
babeczki brownie mocno czekoladowe	babeczki brownie mocno czekoladowe	delecta	delecta	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	426	17	60	5.3	True
babeczki czekoladowe dr. oetker z konfiturą wiśniową	babeczki czekoladowe z konfiturą wiśniową	dr.oetker	dr. oetker	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	0	19.6	43.1	5.2	True
babeczki czekoladowe madeleines/210g	babeczki czekoladowe madeleines/210g	altoria		100 g	słodycze i przekąski	ciastka	456	27	48	6.3	True
babeczki delecta	babeczki delecta	delecta	delecta	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	424	23	47	7.2	True
babeczki delecta nadziane budyniem o smaku czekoladowym	babeczki nadziane budyniem o smaku czekoladowym	delecta	delecta	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	347	15	45	6.8	True
babeczki dr. oetker jogurtowe z konfiturą malinową	babeczki jogurtowe z konfiturą malinową	dr.oetker	dr. oetker	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	0	16.5	40.1	5.7	True
babeczki dr.oetker cytrynowe	babeczki cytrynowe	dr.oetker	dr. oetker	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	0	9.8	48.6	5.1	True
babeczki dr.oetker czekoladowe	babeczki czekoladowe	dr.oetker	dr. oetker	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	0	17.9	40.9	5.2	True
babeczki dr.oetker jogurtowe	babeczki jogurtowe	dr.oetker	dr. oetker	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	0	18.8	44.7	5.6	True
babeczki dr.oetker z płatkami czekolady	babeczki z płatkami czekolady	dr.oetker	dr. oetker	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	0	19	39	5.1	True
babeczki drożdżowe z konfirturą owoce leśne	babeczki drożdżowe z konfirturą owoce leśne	dr.oetker	dr. oetker	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	0	7.7	43.6	7	True
babeczki dyniowe	babeczki dyniowe	delecta	delecta	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	389	21	39	7.3	True
babeczki gellwe disney auta z czekoladowymi kamyczkami	babeczki disney auta z czekoladowymi kamyczkami	gellwe	gellwe	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	342	18	37.1	7.2	True
babeczki gellwe disney truskawkowe	babeczki disney truskawkowe	gellwe	gellwe	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	329	16.2	41	4.9	True
babeczki kopce kreta dr.oetker	babeczki kopce kreta dr.oetker	dr.oetker	dr. oetker	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	0	21.3	31.3	3.9	True
babeczki madeleines	babeczki madeleines	altoria		100 g	słodycze i przekąski	ciastka	449	27	44	6.4	True
babeczki z budyniem o smaku mlecznej czekolady	babeczki z budyniem o smaku mlecznej czekolady	dr.oetker	dr. oetker	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	0	13.6	40.6	5.2	True
babka drożdżowa z rodzynkami panettone	babka drożdżowa z rodzynkami panettone	rc foods		100 g	słodycze i przekąski	ciastka	1592	0	0	0	True
babka kakaowa z kawałkami czekolady panettone	babka kakaowa z kawałkami czekolady panettone	rc foods		100 g	słodycze i przekąski	ciastka	406	19.3	48.6	8.2	True
baileys tuba irlandzkie trufle	baileys tuba irlandzkie trufle	malta premium		100 g	słodycze i przekąski	czekolady, bombonierki	575	40.7	45.2	5	True
bakalland cud miód	cud miód	bakalland	bakalland	100 g	słodycze i przekąski	chipsy, paluszki, orzeszki	531	28	58	10	True
bakalland love las	love las	bakalland	bakalland	100 g	słodycze i przekąski	chipsy, paluszki, orzeszki	435	18	56	7.5	True
bakalland o!żesz sezam	o!żesz sezam	bakalland	bakalland	100 g	słodycze i przekąski	chipsy, paluszki, orzeszki	534	37	29	17	True
bakalland selection ananas	selection ananas	bakalland	bakalland	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	342	0.1	83	0.8	True
bakalland słona ona	słona ona	bakalland	bakalland	100 g	artykuły sypkie	ciasta w proszku, bakalie, dodatki	460	17	68	7.2	True
balsamico naturalne	balsamico naturalne	imaginative cuisine		100 g	przetwory i przyprawy	przyprawy, sosy, koncentraty	242	0	61	0.2	True
balsamico waniliowe	balsamico waniliowe	imaginative cuisine		100 g	przetwory i przyprawy	przyprawy, sosy, koncentraty	170	0	64.9	2	True
bałwanek czekoladowy	bałwanek czekoladowy	i.d.c.	figaro	100 g	słodycze i przekąski	czekolady, bombonierki	581	39	50	6	True
bałwanek w białej czekoladzie	bałwanek w białej czekoladzie	heidi	heidi	100 g	słodycze i przekąski	czekolady, bombonierki	2406	38	53	5.2	True
barbakanki korzenne w czekoladzie	barbakanki korzenne w czekoladzie	bahlsen	krakuski	100 g	słodycze i przekąski	ciastka	478	20	67	6.8	True
barszcz biały	barszcz biały	kowalewski		100 g	przetwory i przyprawy	zupy i dania gotowe	41	0.5	8.3	0.6	True
barszcz biały knorr ekspresowy	barszcz biały ekspresowy	knorr	knorr	100 ml	przetwory i przyprawy	zupy i dania gotowe	0	0.5	3.5	0.6	True
barszcz biały na zakwasie bio	barszcz biały na zakwasie bio	charsznickie pola natury		100 ml	przetwory i przyprawy	zupy i dania gotowe	64	0.3	13	1.7	True
barszcz biały szlachecki dwór	barszcz biały szlachecki dwór	orzeł	orzeł	100 g	przetwory i przyprawy	zupy i dania gotowe	44	0.5	8.6	1	True
barszcz czerwony	barszcz czerwony	profi	profi	100 g	przetwory i przyprawy	zupy i dania gotowe	32	0.5	6.2	0.5	True
barszcz czerwony amino	barszcz czerwony amino	amino	amino	100 ml	przetwory i przyprawy	zupy i dania gotowe	0	3.5	12	1.5	True
barszcz czerwony knorr ekspresowy 5 porcji	barszcz czerwony ekspresowy 5 porcji	knorr	knorr	100 ml	przetwory i przyprawy	zupy i dania gotowe	0	0.3	4	0.2	True
barszcz czerwony winiary instant instant	barszcz czerwony instant instant	winiary	winiary	100 ml	przetwory i przyprawy	zupy i dania gotowe	17	0.2	3.6	0.2	True
barszczyk czerwony rolnik	barszczyk czerwony rolnik	rolnik	rolnik	100 ml	przetwory i przyprawy	zupy i dania gotowe	84	0.5	20	0.6	True
baton 3 bit	baton 3 bit	mondelez polska	3bit	100 g	słodycze i przekąski	wafle, batony	2205	28.5	60.5	6.6	True
baton 3bit classic	baton classic	mondelez polska	3bit	100 g	słodycze i przekąski	wafle, batony	555	33.5	57	5.3	True
baton 3bit orzech	baton orzech	mondelez polska	3bit	100 g	słodycze i przekąski	wafle, batony	555	33.5	56.5	5.4	True
baton adaś mleczny xxl	baton adaś mleczny xxl	wawel	wawel	100 g	słodycze i przekąski	wafle, batony	466	21	62.1	3	True
baton aero milk.	baton milk.	nestle	aero	100 g	słodycze i przekąski	wafle, batony	555	34.5	51.9	8.3	True
baton bajeczny	baton bajeczny	wedel	e. wedel	100 g	słodycze i przekąski	wafle, batony	0	33	54	8.5	True
baton banana	baton banana	tigaro	figaro	100 g	słodycze i przekąski	wafle, batony	380	10	68	2	True
baton bounty 2pack	baton 2pack	mars	bounty	100 g	słodycze i przekąski	wafle, batony	2042	26	58.5	3.8	True
baton bounty dark	baton dark	master foods	bounty	100 g	słodycze i przekąski	wafle, batony	493	27.5	55.8	3.6	True
baton bounty trio	baton trio	mars	bounty	100 g	słodycze i przekąski	czekolady, bombonierki	488	26	58.3	3.8	True
baton chocapic	baton chocapic	nestle	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	13.7	57.8	7.6	True
baton cini minis	baton cini minis	nestle	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	13.2	60.7	7	True
baton cookies'n cream hersheys	baton cookies'n cream hersheys	hershey's		100 g	słodycze i przekąski	wafle, batony	534	28	65	7	True
baton corny big arachidowo-czekoladowy	baton big arachidowo-czekoladowy	hero	corny	100 g	słodycze i przekąski	wafle, batony	0	24.4	54.5	10.2	True
baton corny big czekoladowy	baton big czekoladowy	hero	corny	100 g	słodycze i przekąski	wafle, batony	0	16.7	66	6.1	True
baton corny big kokosowo-czekoladowy kokosowy	baton big kokosowo-czekoladowy kokosowy	hero	corny	100 g	słodycze i przekąski	wafle, batony	0	23.4	58	4.6	True
baton corny big milk classic	baton big milk classic	index food	corny	100 g	słodycze i przekąski	wafle, batony	444	19.1	59.3	5.8	True
baton corny big milk orzech laskowy	baton corny big milk orzech laskowy	hero		100 g	słodycze i przekąski	wafle, batony	437	15.6	65.8	0	True
baton corny big o smaku brownie w mlecznej czekoladzie	baton big o smaku brownie w mlecznej czekoladzie	hero	corny	100 g	słodycze i przekąski	wafle, batony	0	15	63.3	6.5	True
baton corny big orzechowy	baton big orzechowy	hero	corny	100 g	słodycze i przekąski	wafle, batony	0	15.6	65.8	0	True
baton corny big wiśnowy w gorzkiej czekoladzie	baton corny big wiśnowy w gorzkiej czekoladzie	hero		100 g	słodycze i przekąski	wafle, batony	403	11.4	68.2	0	True
baton corny big z orzechami i czekoladą	baton big z orzechami i czekoladą	hero	corny	100 g	słodycze i przekąski	wafle, batony	0	24	53.6	10.7	True
baton corny big z rodzynkami orzechami i czekoladą	baton corny big z rodzynkami orzechami i czekoladą	hero		100 g	słodycze i przekąski	wafle, batony	418	14.9	62.9	5.2	True
baton corny big zbożowy bananowy oblany czekoladą z czekoladą i bananami	baton big zbożowy bananowy oblany czekoladą z czekoladą i bananami	hero	corny	100 g	słodycze i przekąski	wafle, batony	0	15.1	68.7	5.1	True
baton corny big żurawinowy	baton big żurawinowy	hero	corny	100 g	słodycze i przekąski	wafle, batony	0	8	71.8	5.5	True
baton crunchy orzech-migdał	baton crunchy orzech-migdał	sante	sante	100 g	słodycze i przekąski	wafle, batony	473	24	51	12	True
baton crunchy orzechowo - migdałowy	baton crunchy orzechowo - migdałowy	sante	sante	100 g	słodycze i przekąski	wafle, batony	1885	19	61	8.1	True
baton crunchy śliwkowy	baton crunchy śliwkowy	sante	sante	100 g	słodycze i przekąski	wafle, batony	404	12	70	4	True
baton crunchy śliwkowy w polewie waniliowej	baton crunchy śliwkowy w polewie waniliowej	sante	sante	100 g	słodycze i przekąski	wafle, batony	412	13	69	4.1	True
baton crunchy żurawina-malina w polewie waniliowej	baton crunchy żurawina-malina w polewie waniliowej	sante	sante	100 g	słodycze i przekąski	wafle, batony	422	13	72	3.7	True
baton crunchy żurawinowo - malinowy	baton crunchy żurawinowo - malinowy	sante	sante	100 g	słodycze i przekąski	wafle, batony	412	12	72	3.9	True
baton daim 2pack maślano migdałowy oblany czekoladą	baton 2pack maślano migdałowy oblany czekoladą	hero	daim	100 g	słodycze i przekąski	wafle, batony	530	31	59.5	2.8	True
